source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
GO:BP,GO:0034330,cell junction organization,4.812793125478079e-18,True,"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of a cell junction. A cell junction is a specialized region of connection between two cells or between a cell and the extracellular matrix."" [GOC:dph, GOC:jl, GOC:mah]",745,229,42,24936,0.18340611353711792,0.056375838926174496,query_1,['GO:0016043']
GO:BP,GO:0048731,system development,2.3329617040007983e-17,True,"""The process whose specific outcome is the progression of an organismal system over time, from its formation to the mature structure. A system is a regularly interacting or interdependent group of organs or tissues that work together to carry out a given biological process."" [GOC:dph, GOC:jid]",3806,229,93,24936,0.40611353711790393,0.024435102469784552,query_1,"['GO:0007275', 'GO:0048856']"
GO:BP,GO:0007267,cell-cell signaling,1.0466803542258199e-16,True,"""Any process that mediates the transfer of information from one cell to another. This process includes signal transduction in the receiving cell and, where applicable, release of a ligand and any processes that actively facilitate its transport and presentation to the receiving cell. Examples include signaling via soluble ligands, via cell adhesion molecules and via gap junctions."" [GOC:dos, GOC:mah]",1179,229,50,24936,0.2183406113537118,0.04240882103477523,query_1,"['GO:0007154', 'GO:0023052']"
GO:BP,GO:0051128,regulation of cellular component organization,5.735601883661426e-16,True,"""Any process that modulates the frequency, rate or extent of a process involved in the formation, arrangement of constituent parts, or disassembly of cell structures, including the plasma membrane and any external encapsulating structures such as the cell wall and cell envelope."" [GOC:ai]",2251,229,68,24936,0.29694323144104806,0.030208796090626388,query_1,"['GO:0016043', 'GO:0050794']"
GO:BP,GO:0048856,anatomical structure development,1.2329844228550856e-15,True,"""The biological process whose specific outcome is the progression of an anatomical structure from an initial condition to its mature state. This process begins with the formation of the structure and ends with the mature structure, whatever form that may be including its natural destruction. An anatomical structure is any biological entity that occupies space and is distinguished from its surroundings. Anatomical structures can be macroscopic such as a carpel, or microscopic such as an acrosome."" [GO_REF:0000021]",5738,229,114,24936,0.4978165938864629,0.019867549668874173,query_1,['GO:0032502']
GO:BP,GO:0048518,positive regulation of biological process,2.8794910417021784e-15,True,"""Any process that activates or increases the frequency, rate or extent of a biological process. Biological processes are regulated by many means; examples include the control of gene expression, protein modification or interaction with a protein or substrate molecule."" [GOC:jid]",5712,229,113,24936,0.49344978165938863,0.019782913165266106,query_1,"['GO:0008150', 'GO:0050789']"
GO:BP,GO:0065007,biological regulation,2.8796991043277544e-15,True,"""Any process that modulates a measurable attribute of any biological process, quality or function."" [GOC:dph, GOC:isa_complete, GOC:mah, GOC:pr, GOC:vw]",12498,229,179,24936,0.7816593886462883,0.014322291566650665,query_1,['GO:0008150']
GO:BP,GO:0006810,transport,3.657707178914202e-15,True,"""The directed movement of substances (such as macromolecules, small molecules, ions) or cellular components (such as complexes and organelles) into, out of or within a cell, or between cells, or within a multicellular organism by means of some agent such as a transporter or a transporter complex, a pore or a motor protein."" [GOC:dos, GOC:dph, GOC:jl, GOC:mah]",3943,229,91,24936,0.39737991266375544,0.02307887395384225,query_1,['GO:0051234']
GO:BP,GO:0048522,positive regulation of cellular process,5.534626340469697e-15,True,"""Any process that activates or increases the frequency, rate or extent of a cellular process, any of those that are carried out at the cellular level, but are not necessarily restricted to a single cell. For example, cell communication occurs among more than one cell, but occurs at the cellular level."" [GOC:jid]",5332,229,108,24936,0.47161572052401746,0.020255063765941484,query_1,"['GO:0009987', 'GO:0048518', 'GO:0050794']"
GO:BP,GO:0051234,establishment of localization,8.177289561737133e-15,True,"""Any process that localizes a substance or cellular component. This may occur via movement, tethering or selective degradation."" [GOC:ai, GOC:dos]",4145,229,93,24936,0.40611353711790393,0.02243667068757539,query_1,['GO:0051179']
GO:BP,GO:0050789,regulation of biological process,1.0493111921156454e-14,True,"""Any process that modulates the frequency, rate or extent of a biological process. Biological processes are regulated by many means; examples include the control of gene expression, protein modification or interaction with a protein or substrate molecule."" [GOC:ai, GOC:go_curators]",12137,229,175,24936,0.7641921397379913,0.014418719617697948,query_1,"['GO:0008150', 'GO:0065007']"
GO:BP,GO:0006996,organelle organization,1.1942123537754284e-13,True,"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of an organelle within a cell. An organelle is an organized structure of distinctive morphology and function. Includes the nucleus, mitochondria, plastids, vacuoles, vesicles, ribosomes and the cytoskeleton. Excludes the plasma membrane."" [GOC:mah]",3041,229,76,24936,0.3318777292576419,0.024991779020059193,query_1,['GO:0016043']
GO:BP,GO:0010646,regulation of cell communication,5.544528223407191e-13,True,"""Any process that modulates the frequency, rate or extent of cell communication. Cell communication is the process that mediates interactions between a cell and its surroundings. Encompasses interactions such as signaling or attachment between one cell and another cell, between a cell and an extracellular matrix, or between a cell and any other aspect of its environment."" [GOC:dph, GOC:tb]",3198,229,77,24936,0.33624454148471616,0.02407754846779237,query_1,"['GO:0007154', 'GO:0050794']"
GO:BP,GO:0022008,neurogenesis,6.021443772854569e-13,True,"""Generation of cells within the nervous system."" [GO_REF:0000021, GOC:cls, GOC:curators, GOC:dgh, GOC:dph, GOC:jid]",1685,229,54,24936,0.23580786026200873,0.032047477744807124,query_1,"['GO:0007399', 'GO:0030154']"
GO:BP,GO:0050794,regulation of cellular process,6.326899032386698e-13,True,"""Any process that modulates the frequency, rate or extent of a cellular process, any of those that are carried out at the cellular level, but are not necessarily restricted to a single cell. For example, cell communication occurs among more than one cell, but occurs at the cellular level."" [GOC:go_curators]",11716,229,168,24936,0.7336244541484717,0.014339364970979856,query_1,"['GO:0009987', 'GO:0050789']"
GO:BP,GO:0032502,developmental process,9.159442118897106e-13,True,"""A biological process whose specific outcome is the progression of an integrated living unit: an anatomical structure (which may be a subcellular structure, cell, tissue, or organ), or organism over time from an initial condition to a later condition."" [GOC:isa_complete]",6327,229,115,24936,0.5021834061135371,0.018176070807649755,query_1,['GO:0008150']
GO:BP,GO:0023051,regulation of signaling,1.8153689234428224e-12,True,"""Any process that modulates the frequency, rate or extent of a signaling process."" [GOC:mtg_signal]",3194,229,76,24936,0.3318777292576419,0.023794614902943018,query_1,"['GO:0023052', 'GO:0050789']"
GO:BP,GO:0050804,modulation of chemical synaptic transmission,2.0146896277284544e-12,True,"""Any process that modulates the frequency or amplitude of synaptic transmission, the process of communication from a neuron to a target (neuron, muscle, or secretory cell) across a synapse. Amplitude, in this case, refers to the change in postsynaptic membrane potential due to a single instance of synaptic transmission."" [GOC:ai]",600,229,32,24936,0.13973799126637554,0.05333333333333334,query_1,"['GO:0007268', 'GO:0099177']"
GO:BP,GO:0099177,regulation of trans-synaptic signaling,2.1113813674411555e-12,True,"""Any process that modulates the frequency, rate or extent of trans-synaptic signaling."" [GOC:dos]",601,229,32,24936,0.13973799126637554,0.05324459234608985,query_1,"['GO:0010646', 'GO:0023051', 'GO:0099537']"
GO:BP,GO:0051641,cellular localization,2.311631376886181e-12,True,"""A cellular localization process whereby a substance or cellular entity, such as a protein complex or organelle, is transported to, and/or maintained in, a specific location within a cell including the localization of substances or cellular entities to the cell membrane."" [GOC:tb, GOC:vw]",2112,229,60,24936,0.26200873362445415,0.028409090909090908,query_1,"['GO:0009987', 'GO:0051179']"
GO:BP,GO:0048666,neuron development,4.910678604164564e-12,True,"""The process whose specific outcome is the progression of a neuron over time, from initial commitment of the cell to a specific fate, to the fully functional differentiated cell."" [GOC:dph]",1093,229,42,24936,0.18340611353711792,0.0384263494967978,query_1,"['GO:0030182', 'GO:0048468']"
GO:BP,GO:0030182,neuron differentiation,1.7940797118326157e-11,True,"""The process in which a relatively unspecialized cell acquires specialized features of a neuron."" [GOC:mah]",1354,229,46,24936,0.20087336244541484,0.033973412112259974,query_1,"['GO:0030154', 'GO:0048699']"
GO:BP,GO:0099173,postsynapse organization,2.0588103609931047e-11,True,"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of a postsynapse."" [GOC:dos]",243,229,21,24936,0.09170305676855896,0.08641975308641975,query_1,"['GO:0016043', 'GO:0050808']"
GO:BP,GO:0048699,generation of neurons,3.5587738549056457e-11,True,"""The process in which nerve cells are generated. This includes the production of neuroblasts and their differentiation into neurons."" [GOC:nln]",1437,229,47,24936,0.2052401746724891,0.032707028531663185,query_1,['GO:0022008']
GO:BP,GO:0032879,regulation of localization,4.759895186767336e-11,True,"""Any process that modulates the frequency, rate or extent of any process in which a cell, a substance, or a cellular entity is transported to, or maintained in, a specific location."" [GOC:mah]",1747,229,52,24936,0.22707423580786026,0.029765311963365768,query_1,"['GO:0050789', 'GO:0051179']"
GO:BP,GO:0007010,cytoskeleton organization,7.103283639056357e-11,True,"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of cytoskeletal structures."" [GOC:dph, GOC:jl, GOC:mah]",1237,229,43,24936,0.18777292576419213,0.034761519805982216,query_1,['GO:0006996']
GO:BP,GO:0048519,negative regulation of biological process,1.236665398488915e-10,True,"""Any process that stops, prevents, or reduces the frequency, rate or extent of a biological process. Biological processes are regulated by many means; examples include the control of gene expression, protein modification or interaction with a protein or substrate molecule."" [GOC:jid]",5147,229,97,24936,0.42358078602620086,0.01884592966776763,query_1,"['GO:0008150', 'GO:0050789']"
GO:BP,GO:0120036,plasma membrane bounded cell projection organization,1.5062624826974945e-10,True,"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of a plasma membrane bounded prolongation or process extending from a cell, e.g. a cilium or axon."" [GOC:krc]",1436,229,46,24936,0.20087336244541484,0.03203342618384401,query_1,['GO:0030030']
GO:BP,GO:0030029,actin filament-based process,1.522457261955324e-10,True,"""Any cellular process that depends upon or alters the actin cytoskeleton, that part of the cytoskeleton comprising actin filaments and their associated proteins."" [GOC:mah]",656,229,31,24936,0.13537117903930132,0.04725609756097561,query_1,['GO:0009987']
GO:BP,GO:0048523,negative regulation of cellular process,1.8257751151634273e-10,True,"""Any process that stops, prevents, or reduces the frequency, rate or extent of a cellular process, any of those that are carried out at the cellular level, but are not necessarily restricted to a single cell. For example, cell communication occurs among more than one cell, but occurs at the cellular level."" [GOC:jid]",4924,229,94,24936,0.4104803493449782,0.019090170593013808,query_1,"['GO:0009987', 'GO:0048519', 'GO:0050794']"
GO:BP,GO:0032501,multicellular organismal process,4.14820905957801e-10,True,"""Any biological process, occurring at the level of a multicellular organism, pertinent to its function."" [GOC:curators, GOC:dph, GOC:isa_complete, GOC:tb]",8009,229,127,24936,0.5545851528384279,0.015857160694219004,query_1,['GO:0008150']
GO:BP,GO:0030030,cell projection organization,4.5243681791016136e-10,True,"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of a prolongation or process extending from a cell, e.g. a flagellum or axon."" [GOC:jl, GOC:mah, PMID:16318917]",1481,229,46,24936,0.20087336244541484,0.031060094530722483,query_1,['GO:0016043']
GO:BP,GO:0030036,actin cytoskeleton organization,1.054634379422037e-09,True,"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of cytoskeletal structures comprising actin filaments and their associated proteins."" [GOC:dph, GOC:jl, GOC:mah]",570,229,28,24936,0.1222707423580786,0.04912280701754386,query_1,"['GO:0007010', 'GO:0030029']"
GO:BP,GO:0009653,anatomical structure morphogenesis,1.5126035303970295e-09,True,"""The process in which anatomical structures are generated and organized. Morphogenesis pertains to the creation of form."" [GOC:go_curators, ISBN:0521436125]",2586,229,62,24936,0.27074235807860264,0.02397525135344161,query_1,"['GO:0032502', 'GO:0048856']"
GO:BP,GO:0000902,cell morphogenesis,1.946938755999238e-09,True,"""The developmental process in which the size or shape of a cell is generated and organized."" [GOC:clt, GOC:dph, GOC:go_curators, GOC:tb]",922,229,35,24936,0.15283842794759825,0.03796095444685466,query_1,['GO:0009653']
GO:BP,GO:0031175,neuron projection development,2.565689528285576e-09,True,"""The process whose specific outcome is the progression of a neuron projection over time, from its formation to the mature structure. A neuron projection is any process extending from a neural cell, such as axons or dendrites (collectively called neurites)."" [GOC:mah]",931,229,35,24936,0.15283842794759825,0.03759398496240601,query_1,"['GO:0048666', 'GO:0120036']"
GO:BP,GO:0044087,regulation of cellular component biogenesis,2.565689528285576e-09,True,"""Any process that modulates the frequency, rate or extent of cellular component biogenesis, a process that results in the biosynthesis of constituent macromolecules, assembly, and arrangement of constituent parts of a cellular component."" [GOC:jl]",931,229,35,24936,0.15283842794759825,0.03759398496240601,query_1,"['GO:0044085', 'GO:0050794']"
GO:BP,GO:0007015,actin filament organization,2.9237638967639005e-09,True,"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of cytoskeletal structures comprising actin filaments. Includes processes that control the spatial distribution of actin filaments, such as organizing filaments into meshworks, bundles, or other structures, as by cross-linking."" [GOC:mah]",349,229,22,24936,0.09606986899563319,0.06303724928366762,query_1,"['GO:0030036', 'GO:0097435']"
GO:BP,GO:0050803,regulation of synapse structure or activity,3.512463024163927e-09,True,"""Any process that modulates the physical form or the activity of a synapse, the junction between a neuron and a target (neuron, muscle, or secretory cell)."" [GOC:ai]",316,229,21,24936,0.09170305676855896,0.06645569620253164,query_1,['GO:0065008']
GO:BP,GO:0030154,cell differentiation,6.176468006070255e-09,True,"""The cellular developmental process in which a relatively unspecialized cell, e.g. embryonic or regenerative cell, acquires specialized structural and/or functional features that characterize a specific cell. Differentiation includes the processes involved in commitment of a cell to a specific fate and its subsequent development to the mature state."" [ISBN:0198506732]",4372,229,84,24936,0.36681222707423583,0.0192131747483989,query_1,['GO:0048869']
GO:BP,GO:0048869,cellular developmental process,6.253985196138485e-09,True,"""A biological process whose specific outcome is the progression of a cell over time from an initial condition to a later condition."" [GOC:isa_complete]",4373,229,84,24936,0.36681222707423583,0.01920878115710039,query_1,"['GO:0009987', 'GO:0032502']"
GO:BP,GO:0007154,cell communication,7.214031501814887e-09,True,"""Any process that mediates interactions between a cell and its surroundings. Encompasses interactions such as signaling or attachment between one cell and another cell, between a cell and an extracellular matrix, or between a cell and any other aspect of its environment."" [GOC:mah]",7042,229,114,24936,0.4978165938864629,0.016188582788980402,query_1,['GO:0009987']
GO:BP,GO:0048812,neuron projection morphogenesis,8.687786726277997e-09,True,"""The process in which the anatomical structures of a neuron projection are generated and organized. A neuron projection is any process extending from a neural cell, such as axons or dendrites."" [GOC:mah]",577,229,27,24936,0.11790393013100436,0.04679376083188908,query_1,"['GO:0031175', 'GO:0120039']"
GO:BP,GO:0097435,supramolecular fiber organization,1.4493587344253112e-08,True,"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of a supramolecular fiber, a polymer consisting of an indefinite number of protein or protein complex subunits that have polymerised to form a fiber-shaped structure."" [GOC:pr]",590,229,27,24936,0.11790393013100436,0.04576271186440678,query_1,['GO:0016043']
GO:BP,GO:0048468,cell development,1.492084468626001e-08,True,"""The cellular developmental process in which a specific cell progresses from an immature to a mature state. Cell development start once cell commitment has taken place."" [GOC:go_curators]",2873,229,64,24936,0.2794759825327511,0.022276366167768884,query_1,"['GO:0030154', 'GO:0048856', 'GO:0048869']"
GO:BP,GO:0120039,plasma membrane bounded cell projection morphogenesis,1.5661525001042442e-08,True,"""The process in which the anatomical structures of a plasma membrane bounded cell projection are generated and organized."" [GOC:krc]",592,229,27,24936,0.11790393013100436,0.04560810810810811,query_1,['GO:0048858']
GO:BP,GO:0048167,regulation of synaptic plasticity,1.5802890683688156e-08,True,"""A process that modulates synaptic plasticity, the ability of synapses to change as circumstances require. They may alter function, such as increasing or decreasing their sensitivity, or they may increase or decrease in actual numbers."" [GOC:dph, GOC:jid, GOC:tb, PMID:11891290]",342,229,21,24936,0.09170305676855896,0.06140350877192982,query_1,"['GO:0050804', 'GO:0065008']"
GO:BP,GO:0048858,cell projection morphogenesis,1.9722881918796377e-08,True,"""The process in which the anatomical structures of a cell projection are generated and organized."" [GO_REF:0000021]",598,229,27,24936,0.11790393013100436,0.0451505016722408,query_1,"['GO:0000902', 'GO:0009653', 'GO:0030030']"
GO:BP,GO:0050807,regulation of synapse organization,2.3278847000541605e-08,True,"""Any process that modulates the physical form of a synapse, the junction between a neuron and a target (neuron, muscle, or secretory cell)."" [GOC:ai, GOC:dph, GOC:tb]",312,229,20,24936,0.08733624454148471,0.0641025641025641,query_1,"['GO:0050803', 'GO:0050808', 'GO:0051128']"
GO:BP,GO:0023052,signaling,2.707066150876086e-08,True,"""The entirety of a process in which information is transmitted within a biological system. This process begins with an active signal and ends when a cellular response has been triggered."" [GOC:mtg_signal, GOC:mtg_signaling_feb11, GOC:signaling]",6987,229,112,24936,0.4890829694323144,0.0160297695720624,query_1,['GO:0050789']
GO:BP,GO:0010557,positive regulation of macromolecule biosynthetic process,2.9281640401671214e-08,True,"""Any process that increases the rate, frequency or extent of the chemical reactions and pathways resulting in the formation of a macromolecule, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass."" [GOC:dph, GOC:tb]",2340,229,56,24936,0.2445414847161572,0.023931623931623933,query_1,"['GO:0009059', 'GO:0009891', 'GO:0010556', 'GO:0010604']"
GO:BP,GO:0010604,positive regulation of macromolecule metabolic process,3.557929019636792e-08,True,"""Any process that increases the frequency, rate or extent of the chemical reactions and pathways involving macromolecules, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass."" [GOC:dph, GOC:tb]",2783,229,62,24936,0.27074235807860264,0.022278117139777218,query_1,"['GO:0009893', 'GO:0043170', 'GO:0060255']"
GO:BP,GO:0009893,positive regulation of metabolic process,3.8908564445376655e-08,True,"""Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways within a cell or an organism."" [GOC:go_curators]",3012,229,65,24936,0.2838427947598253,0.02158034528552457,query_1,"['GO:0008152', 'GO:0019222', 'GO:0048522']"
GO:BP,GO:0009891,positive regulation of biosynthetic process,4.0416368042764226e-08,True,"""Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways resulting in the formation of substances."" [GOC:go_curators]",2430,229,57,24936,0.24890829694323144,0.02345679012345679,query_1,"['GO:0009058', 'GO:0009889', 'GO:0009893']"
GO:BP,GO:0022603,regulation of anatomical structure morphogenesis,6.097565110336202e-08,True,"""Any process that modulates the frequency, rate or extent of anatomical structure morphogenesis."" [GOC:mah]",776,229,30,24936,0.13100436681222707,0.03865979381443299,query_1,"['GO:0009653', 'GO:0050793']"
GO:BP,GO:0007610,behavior,6.158704770061865e-08,True,"""The internally coordinated responses (actions or inactions) of animals (individuals or groups) to internal or external stimuli, via a mechanism that involves nervous system activity."" [GOC:ems, GOC:jl, ISBN:0395448956, PMID:20160973]",726,229,29,24936,0.12663755458515283,0.03994490358126722,query_1,['GO:0032501']
GO:BP,GO:0051649,establishment of localization in cell,6.847303746217827e-08,True,"""Any process, occurring in a cell, that localizes a substance or cellular component. This may occur via movement, tethering or selective degradation."" [GOC:ai, GOC:dos, GOC:dph, GOC:tb]",1713,229,46,24936,0.20087336244541484,0.026853473438412143,query_1,"['GO:0051234', 'GO:0051641']"
GO:BP,GO:0022607,cellular component assembly,1.1899671234571509e-07,True,"""The aggregation, arrangement and bonding together of a cellular component."" [GOC:isa_complete]",3876,229,75,24936,0.32751091703056767,0.01934984520123839,query_1,"['GO:0016043', 'GO:0044085']"
GO:BP,GO:0051049,regulation of transport,3.5588961818172196e-07,True,"""Any process that modulates the frequency, rate or extent of the directed movement of substances (such as macromolecules, small molecules, ions) into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."" [GOC:ai]",1414,229,40,24936,0.17467248908296942,0.028288543140028287,query_1,"['GO:0006810', 'GO:0032879']"
GO:BP,GO:0048583,regulation of response to stimulus,3.709810957118277e-07,True,"""Any process that modulates the frequency, rate or extent of a response to a stimulus. Response to stimulus is a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus."" [GOC:jid]",3487,229,69,24936,0.30131004366812225,0.019787783194723258,query_1,"['GO:0050789', 'GO:0050896']"
GO:BP,GO:0044085,cellular component biogenesis,7.128593851936877e-07,True,"""A process that results in the biosynthesis of constituent macromolecules, assembly, and arrangement of constituent parts of a cellular component. Includes biosynthesis of constituent macromolecules, and those macromolecular modifications that are involved in synthesis or assembly of the cellular component."" [GOC:jl, GOC:mah]",4108,229,76,24936,0.3318777292576419,0.018500486854917234,query_1,['GO:0071840']
GO:BP,GO:0051254,positive regulation of RNA metabolic process,7.783730764797905e-07,True,"""Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways involving RNA."" [GOC:ai]",1645,229,43,24936,0.18777292576419213,0.026139817629179333,query_1,"['GO:0010604', 'GO:0016070', 'GO:0051252']"
GO:BP,GO:0009966,regulation of signal transduction,9.135622532135399e-07,True,"""Any process that modulates the frequency, rate or extent of signal transduction."" [GOC:sm]",2634,229,57,24936,0.24890829694323144,0.02164009111617312,query_1,"['GO:0007165', 'GO:0010646', 'GO:0023051', 'GO:0048583']"
GO:BP,GO:0016477,cell migration,9.532877983912287e-07,True,"""The controlled self-propelled movement of a cell from one site to a destination guided by molecular cues."" [GOC:cjm, GOC:dph, GOC:ems, GOC:pf, Wikipedia:Cell_migration]",1337,229,38,24936,0.16593886462882096,0.028421839940164548,query_1,['GO:0048870']
GO:BP,GO:0009987,cellular process,1.0400731540002582e-06,True,"""Any process that is carried out at the cellular level, but not necessarily restricted to a single cell. For example, cell communication occurs among more than one cell, but occurs at the cellular level."" [GOC:go_curators, GOC:isa_complete]",20290,229,218,24936,0.9519650655021834,0.010744208969935928,query_1,['GO:0008150']
GO:BP,GO:0045893,positive regulation of DNA-templated transcription,1.2236457552277173e-06,True,"""Any process that activates or increases the frequency, rate or extent of cellular DNA-templated transcription."" [GOC:go_curators, GOC:txnOH]",1539,229,41,24936,0.17903930131004367,0.02664067576348278,query_1,"['GO:0006351', 'GO:0006355', 'GO:1902680']"
GO:BP,GO:0016358,dendrite development,1.2379659044109343e-06,True,"""The process whose specific outcome is the progression of the dendrite over time, from its formation to the mature structure."" [GOC:aruk, GOC:bc, GOC:jl, ISBN:0198506732, PMID:22683681]",236,229,16,24936,0.06986899563318777,0.06779661016949153,query_1,"['GO:0031175', 'GO:0048856']"
GO:BP,GO:1902680,positive regulation of RNA biosynthetic process,1.2715157149519855e-06,True,"""Any process that activates or increases the frequency, rate or extent of RNA biosynthetic process."" [GO:jl, GO_REF:0000058, GOC:TermGenie]",1541,229,41,24936,0.17903930131004367,0.026606099935107073,query_1,"['GO:0010557', 'GO:0032774', 'GO:0051254', 'GO:2001141']"
GO:BP,GO:0006950,response to stress,1.4271961749163706e-06,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a disturbance in organismal or cellular homeostasis, usually, but not necessarily, exogenous (e.g. temperature, humidity, ionizing radiation)."" [GOC:mah]",3596,229,69,24936,0.30131004366812225,0.01918798665183537,query_1,['GO:0050896']
GO:BP,GO:0007417,central nervous system development,1.5086072036303293e-06,True,"""The process whose specific outcome is the progression of the central nervous system over time, from its formation to the mature structure. The central nervous system is the core nervous system that serves an integrating and coordinating function. In vertebrates it consists of the brain and spinal cord. In those invertebrates with a central nervous system it typically consists of a brain, cerebral ganglia and a nerve cord."" [GOC:bf, GOC:jid, ISBN:0582227089]",943,229,31,24936,0.13537117903930132,0.032873806998939555,query_1,"['GO:0007399', 'GO:0048731']"
GO:BP,GO:0048667,cell morphogenesis involved in neuron differentiation,1.76000105035974e-06,True,"""The process in which the structures of a neuron are generated and organized. This process occurs while the initially relatively unspecialized cell is acquiring the specialized features of a neuron."" [GOC:dph, GOC:tb]",533,229,23,24936,0.10043668122270742,0.043151969981238276,query_1,"['GO:0000902', 'GO:0048666']"
GO:BP,GO:0006811,monoatomic ion transport,1.7721350663330691e-06,True,"""The directed movement of a monoatomic ion into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. Monatomic ions (also called simple ions) are ions consisting of exactly one atom."" [GOC:ai]",1123,229,34,24936,0.14847161572052403,0.030276046304541407,query_1,['GO:0006810']
